date,close
2022-04-27,177.4914
2022-04-28,174.7710
2022-04-29,173.7369
2022-04-30,177.3726
2022-05-01,176.2743
2022-05-02,175.3993
2022-05-03,175.7443
2022-05-04,172.5599
2022-05-05,173.2155
2022-05-06,170.1592
2022-05-07,172.5037
2022-05-08,172.5982
2022-05-09,178.5962
2022-05-10,179.4379
2022-05-11,183.2034
2022-05-12,179.7136
2022-05-13,179.4742
2022-05-14,180.4339
2022-05-15,185.2489
2022-05-16,180.6707
2022-05-17,183.4457
2022-05-18,185.1646
2022-05-19,189.5166
2022-05-20,191.6365
2022-05-21,191.8820
2022-05-22,190.4765
2022-05-23,187.0055
2022-05-24,187.6472
2022-05-25,187.2014
2022-05-26,192.9680
2022-05-27,191.2958
2022-05-28,192.3108
2022-05-29,187.8809
2022-05-30,186.8604
2022-05-31,187.6858
2022-06-01,190.0993
2022-06-02,194.3236
2022-06-03,194.2921
2022-06-04,191.1332
2022-06-05,192.5414
2022-06-06,194.1308
2022-06-07,195.6595
2022-06-08,193.7021
2022-06-09,197.0920
2022-06-10,197.4504
2022-06-11,199.6219
2022-06-12,203.5367
2022-06-13,205.4986
2022-06-14,206.4845
2022-06-15,213.2555
2022-06-16,214.1417
2022-06-17,213.2981
2022-06-18,213.7630
2022-06-19,218.6243
2022-06-20,219.1229
2022-06-21,220.9396
2022-06-22,225.0128
2022-06-23,223.3943
2022-06-24,217.7204
2022-06-25,218.8072
2022-06-26,219.6706
2022-06-27,217.7770
2022-06-28,220.7314
2022-06-29,222.8534
2022-06-30,219.6388
2022-07-01,221.4559
2022-07-02,220.9152
2022-07-03,216.1113
2022-07-04,217.6877
2022-07-05,217.6489
2022-07-06,215.3246
2022-07-07,217.1213
2022-07-08,218.8195
2022-07-09,217.0332
2022-07-10,218.4451
2022-07-11,221.8804
2022-07-12,219.6194
2022-07-13,220.9840
2022-07-14,221.1036
2022-07-15,228.7295
2022-07-16,222.4544
2022-07-17,224.8857
2022-07-18,223.9651
2022-07-19,223.7404
2022-07-20,230.2342
2022-07-21,230.3197
2022-07-22,238.1769
2022-07-23,236.7164
2022-07-24,238.0793
2022-07-25,236.4454
2022-07-26,234.1140
2022-07-27,234.4505
2022-07-28,233.5740
2022-07-29,234.4002
2022-07-30,227.1161
2022-07-31,234.0516
2022-08-01,233.5823
2022-08-02,239.8058
2022-08-03,236.3030
2022-08-04,237.4581
2022-08-05,248.8499
2022-08-06,245.7279
2022-08-07,240.3392
2022-08-08,238.4891
2022-08-09,240.2986
2022-08-10,242.9179
2022-08-11,247.7412
2022-08-12,246.9099
2022-08-13,241.0992
2022-08-14,239.6465
2022-08-15,244.2245
2022-08-16,246.0525
2022-08-17,238.9529
2022-08-18,238.9468
2022-08-19,244.0775
2022-08-20,251.9852
2022-08-21,254.2343
2022-08-22,255.5409
2022-08-23,250.9148
2022-08-24,247.8666
2022-08-25,248.1649
2022-08-26,250.1622
2022-08-27,252.4643
2022-08-28,250.7796
2022-08-29,246.5717
2022-08-30,243.8183
2022-08-31,239.7089
2022-09-01,242.1422
2022-09-02,233.8648
2022-09-03,232.8126
2022-09-04,234.5000
2022-09-05,239.9710
2022-09-06,240.3476
2022-09-07,244.0776
2022-09-08,242.7388
2022-09-09,240.1498
2022-09-10,237.8405
2022-09-11,243.4084
2022-09-12,247.1601
2022-09-13,249.0906
2022-09-14,261.6583
2022-09-15,261.6622
2022-09-16,264.2278
2022-09-17,265.5791
2022-09-18,264.8279
2022-09-19,274.1611
2022-09-20,280.4940
2022-09-21,274.7461
2022-09-22,273.2356
2022-09-23,275.1278
2022-09-24,278.4975
2022-09-25,273.0036
2022-09-26,263.9035
2022-09-27,256.4890
2022-09-28,256.3436
2022-09-29,256.0750
2022-09-30,257.5290
2022-10-01,254.6846
2022-10-02,250.1350
2022-10-03,242.6696
2022-10-04,243.9892
2022-10-05,245.4655
2022-10-06,249.2444
2022-10-07,252.3256
2022-10-08,251.7299
2022-10-09,256.9505
2022-10-10,256.5534
2022-10-11,254.1386
2022-10-12,252.2811
2022-10-13,250.1942
2022-10-14,242.1915
2022-10-15,242.8805
2022-10-16,243.9123
2022-10-17,242.7089
2022-10-18,240.2314
2022-10-19,241.6913
2022-10-20,248.0364
2022-10-21,248.3028
2022-10-22,246.5362
2022-10-23,244.4723
2022-10-24,244.3387
2022-10-25,239.8254
2022-10-26,239.4947
2022-10-27,239.8343
2022-10-28,246.5905
2022-10-29,250.2035
2022-10-30,254.2094
2022-10-31,251.6179
2022-11-01,254.2722
2022-11-02,250.0536
2022-11-03,251.3488
2022-11-04,253.0532
2022-11-05,250.2706
2022-11-06,257.9015
2022-11-07,260.2253
2022-11-08,252.9284
2022-11-09,255.1524
2022-11-10,253.7206
2022-11-11,253.8527
2022-11-12,255.7532
2022-11-13,257.3793
2022-11-14,249.6354
2022-11-15,245.4229
2022-11-16,248.3899
2022-11-17,253.3622
2022-11-18,260.7217
2022-11-19,267.9039
2022-11-20,259.7776
2022-11-21,262.9059
2022-11-22,255.4803
2022-11-23,261.7916
2022-11-24,262.9174
2022-11-25,258.5484
2022-11-26,266.4725
2022-11-27,269.1797
2022-11-28,261.6784
2022-11-29,262.9612
2022-11-30,260.2088
2022-12-01,260.7733
2022-12-02,259.0840
2022-12-03,264.5513
2022-12-04,259.0356
2022-12-05,260.3984
2022-12-06,267.6148
2022-12-07,264.4290
2022-12-08,265.3967
2022-12-09,266.3336
2022-12-10,263.7114
2022-12-11,266.4061
2022-12-12,266.9271
2022-12-13,263.2818
2022-12-14,270.3721
2022-12-15,273.7177
2022-12-16,273.1685
2022-12-17,270.6963
2022-12-18,267.6467
2022-12-19,272.7224
2022-12-20,272.2596
2022-12-21,274.2720
2022-12-22,273.6503
2022-12-23,276.3173
2022-12-24,275.9747
2022-12-25,279.2748
2022-12-26,278.6469
2022-12-27,282.2537
2022-12-28,285.2416
2022-12-29,284.8853
2022-12-30,281.3536
2022-12-31,277.5267
2023-01-01,274.5819
2023-01-02,270.6643
2023-01-03,274.3148
2023-01-04,274.2602
2023-01-05,280.8565
2023-01-06,290.5994
2023-01-07,290.8503
2023-01-08,284.2421
2023-01-09,282.7579
2023-01-10,282.5797
2023-01-11,276.4119
2023-01-12,275.5115
2023-01-13,276.8351
2023-01-14,275.0658
2023-01-15,272.0328
2023-01-16,269.0727
2023-01-17,276.4184
2023-01-18,275.8947
2023-01-19,272.5981
2023-01-20,271.2096
2023-01-21,275.2276
2023-01-22,272.5385
2023-01-23,274.6446
2023-01-24,277.7806
2023-01-25,281.0409
2023-01-26,287.0819
2023-01-27,284.8550
2023-01-28,289.8374
2023-01-29,286.5353
2023-01-30,284.9742
2023-01-31,290.2295
2023-02-01,293.9548
2023-02-02,294.1111
2023-02-03,289.0020
2023-02-04,291.5813
2023-02-05,288.9700
2023-02-06,285.1099
2023-02-07,282.4806
2023-02-08,283.6663
2023-02-09,274.7831
2023-02-10,276.4075
2023-02-11,277.2668
2023-02-12,274.9743
2023-02-13,279.3888
2023-02-14,282.0909
2023-02-15,279.6665
2023-02-16,276.9956
2023-02-17,280.0224
2023-02-18,273.7944
2023-02-19,272.5653
2023-02-20,270.1215
2023-02-21,270.5397
2023-02-22,271.5318
2023-02-23,271.8174
2023-02-24,276.5804
2023-02-25,277.6648
2023-02-26,276.4917
2023-02-27,271.6081
2023-02-28,274.6848
2023-03-01,276.9983
2023-03-02,283.1648
2023-03-03,280.1316
2023-03-04,280.3827
2023-03-05,280.2760
2023-03-06,280.0478
2023-03-07,280.2315
2023-03-08,273.1646
2023-03-09,276.6815
2023-03-10,279.5308
2023-03-11,284.4106
2023-03-12,294.1499
2023-03-13,292.8896
2023-03-14,292.8772
2023-03-15,293.0667
2023-03-16,301.7510
2023-03-17,294.0660
2023-03-18,296.3557
2023-03-19,289.9656
2023-03-20,278.8820
2023-03-21,270.5679
2023-03-22,265.0952
2023-03-23,269.4787
2023-03-24,266.1033
2023-03-25,265.3285
2023-03-26,260.8305
2023-03-27,263.3512
2023-03-28,259.1298
2023-03-29,264.3810
2023-03-30,260.5748
2023-03-31,257.7157
2023-04-01,258.3191
2023-04-02,258.5440
2023-04-03,264.1984
2023-04-04,264.8077
2023-04-05,260.1424
2023-04-06,258.0860
2023-04-07,255.9976
2023-04-08,258.9098
2023-04-09,260.5297
2023-04-10,260.1934
2023-04-11,263.7175
2023-04-12,261.7588
2023-04-13,261.3547
2023-04-14,262.1940
2023-04-15,268.3353
2023-04-16,268.0729
2023-04-17,266.7964
2023-04-18,262.7444
2023-04-19,265.5796
2023-04-20,263.3714
2023-04-21,264.8608
2023-04-22,257.4383
2023-04-23,261.5954
2023-04-24,256.4997
2023-04-25,253.6372
2023-04-26,257.7914
2023-04-27,252.7601
2023-04-28,252.5852
2023-04-29,252.9929
2023-04-30,249.3299
2023-05-01,254.4771
2023-05-02,260.3254
2023-05-03,252.7567
2023-05-04,247.3894
2023-05-05,250.5123
2023-05-06,245.7412
2023-05-07,244.4315
2023-05-08,245.0287
2023-05-09,247.6941
2023-05-10,246.9885
2023-05-11,247.4647
2023-05-12,244.7053
2023-05-13,249.5713
2023-05-14,247.8419
2023-05-15,249.2288
2023-05-16,247.4407
2023-05-17,247.9590
